Time_s,HallVoltage1,DutyCycle,Setpoint,Error,P,I,D
1737437498.2443125,0.9032135500114442,0,1.11,0.2067864499885559,0,25,0
1737437498.2460825,0.901602197299153,0,1.11,0.20839780270084707,0,25,0
1737437498.247548,0.9032135500114442,196,1.11,0.2067864499885559,52.09945067521177,25.001142785403896,-0.0
1737437498.2489424,0.9032135500114442,196,1.11,0.2067864499885559,52.09945067521177,25.001142785403896,-0.0
1737437498.2502728,0.9032135500114442,196,1.11,0.2067864499885559,52.09945067521177,25.001142785403896,-0.0
1737437498.2516315,0.9032135500114442,196,1.11,0.2067864499885559,52.09945067521177,25.001142785403896,-0.0
1737437498.2529376,0.9032135500114442,196,1.11,0.2067864499885559,52.09945067521177,25.001142785403896,-0.0
1737437498.2542367,0.9032135500114442,196,1.11,0.2067864499885559,52.09945067521177,25.001142785403896,-0.0
1737437498.2555275,0.9032135500114442,196,1.11,0.2067864499885559,52.09945067521177,25.001142785403896,-0.0
1737437498.256813,0.9064362554360265,196,1.11,0.20356374456397364,52.09945067521177,25.001142785403896,-0.0
1737437498.2581413,0.9064362554360265,187,1.11,0.20356374456397364,50.89093614099341,25.00269394983984,-2.378952272027536
1737437498.2595344,0.9064362554360265,187,1.11,0.20356374456397364,50.89093614099341,25.00269394983984,-2.378952272027536
1737437498.2608254,0.9064362554360265,187,1.11,0.20356374456397364,50.89093614099341,25.00269394983984,-2.378952272027536
1737437498.2621343,0.9096589608606088,187,1.11,0.20034103913939127,50.89093614099341,25.00269394983984,-2.378952272027536
1737437498.2634127,0.9096589608606088,187,1.11,0.20034103913939127,50.89093614099341,25.00269394983984,-2.378952272027536
1737437498.2647023,0.9128816662851911,187,1.11,0.19711833371480902,50.89093614099341,25.00269394983984,-2.378952272027536
1737437498.2659855,0.9128816662851911,187,1.11,0.19711833371480902,50.89093614099341,25.00269394983984,-2.378952272027536
1737437498.2672825,0.9128816662851911,187,1.11,0.19711833371480902,50.89093614099341,25.00269394983984,-2.378952272027536
1737437498.2686057,0.9128816662851911,181,1.11,0.19711833371480902,49.27958342870225,25.004186149621447,-3.1928750317702876
1737437498.2698512,0.9161043717097733,181,1.11,0.19389562829022677,49.27958342870225,25.004186149621447,-3.1928750317702876
1737437498.2710958,0.9161043717097733,181,1.11,0.19389562829022677,49.27958342870225,25.004186149621447,-3.1928750317702876
1737437498.2723482,0.9161043717097733,181,1.11,0.19389562829022677,49.27958342870225,25.004186149621447,-3.1928750317702876
